Epoch,Average reward,Reward count,Episode count,MeanQ,TD Error,Seconds
1,19.894736842105,1652,76,0.036629230499268,0.034258731238544,0
2,-10.864864864865,1032,37,0.088388940036297,0.036268266946077,2140.1843442917
3,6.75,566,20,0.10980970552564,0.035165142327547,5024.0690410137
4,17.782608695652,544,23,0.14155595132709,0.035153854876757,7954.2796509266
5,-8.2571428571429,982,35,0.18404190149903,0.034203920930624,10895.232643127
6,1.3636363636364,735,22,0.23041268283129,0.036833466291428,13843.955490112
7,-4.0555555555556,607,18,0.24128054684401,0.040439512044191,16800.791962147
8,-17.246376811594,1712,69,0.27102411770821,0.040627625931054,19781.40379405
9,-8.2608695652174,1735,69,0.37685767302662,0.047047990996391,22781.630583048
10,20.964705882353,1804,85,0.40086788585782,0.061366469353437,25832.945611
11,18.073529411765,1622,68,0.58332307624817,0.069838082119823,28871.55139184
12,-8.2558139534884,1330,43,0.60145196096599,0.066045082810801,31952.171814919
13,-6.5526315789474,1282,38,0.68109701417387,0.074076765326783,34966.254708767
14,-6,1087,32,0.7062286438942,0.081175927717239,37979.379287958
15,-7.1935483870968,1058,31,0.73730385822058,0.080288166455925,41006.026421785
16,2.8636363636364,843,22,0.76484009151161,0.06838713674061,44023.744074583
17,-4.25,841,24,0.82907662519813,0.070006534771994,47071.221020699
18,-1.6315789473684,732,19,0.82211218604445,0.079391503483057,50115.644058466
19,-7,762,22,1.0358029997051,0.083106067851186,53143.724182606
20,-7.4117647058824,599,17,1.0717535401285,0.068865682188421,56224.953065634
21,-4.0526315789474,681,19,1.0258434101641,0.07186470163241,59252.510054588
22,2.2631578947368,707,19,1.0864659250975,0.059363974899054,62302.120079756
23,3.3571428571429,526,14,1.0833346217573,0.063327269699425,65340.640899897
24,-0.47368421052632,750,19,1.0997896017432,0.062145422551781,68390.421947956
25,-3.2941176470588,640,17,1.102532440275,0.06356831882894,71446.502653837
26,-3,656,18,1.0374306339025,0.054802458614111,74549.215828657
27,-4,514,13,0.96129315176606,0.054592645399272,77634.196890831
28,-4,524,14,0.96601669877768,0.053654642223381,80685.836214781
29,-2.1764705882353,617,17,0.9382788464427,0.053507280364633,83716.217218876
30,-1.625,564,16,0.90140304681659,0.054804528713226,86816.62901473
31,-2.7333333333333,590,15,0.89678108328581,0.055654351443052,89896.952369928
32,-4.6666666666667,539,15,0.87170422816277,0.052837499111891,92944.94702816
33,0.375,593,16,0.86125646364689,0.054151404440403,96033.474353313
34,-5.4285714285714,517,14,0.80565326881409,0.048675433501601,99126.870426178
35,-8.3333333333333,418,12,0.83305224263668,0.048897989697754,102218.8840003
36,-7.2666666666667,544,15,0.81939549726248,0.062981894731522,105332.10956836
37,-5.5333333333333,521,15,0.78063530129194,0.054293885916471,108390.310781
38,-8.2857142857143,480,14,0.76713334679604,0.049812828674912,111577.00082707
39,-8.2,525,15,0.74416504707932,0.047728421837091,114681.56327724
40,-5.6666666666667,558,15,0.70014776280522,0.049224613063037,117785.27115202
41,-4.1818181818182,400,11,0.66092579168081,0.047589437417686,120884.00687814
42,-6.0833333333333,458,12,0.61858874151111,0.046044506199658,123987.18336725
43,-1.0666666666667,569,15,0.61212630918622,0.042183957137167,127176.64506316
44,-3,568,16,0.61761562865973,0.048996827743948,130457.61719894
45,-1.3333333333333,447,12,0.62245470565557,0.043741934835911,133590.15817618
46,-6.3571428571429,507,14,0.62223418441415,0.049592643141747,136745.98338032
47,-0.78571428571429,538,14,0.60995001575351,0.040588559448719,140288.5203855
48,-0.75,438,12,0.6117885850668,0.042088281303644,143582.21646833
49,-9,569,17,0.58831976529956,0.051058675073087,146885.37541223
50,-3.2857142857143,513,14,0.58009276488423,0.050145434975624,150514.73280025
51,0.85714285714286,516,14,0.56708448454738,0.05352240806818,153905.42626715
52,-0.66666666666667,355,9,0.603058814466,0.054049070090055,156998.08905911
53,-3.9230769230769,483,13,0.6199501991272,0.051908938907087,160223.2752831
54,-7.3333333333333,431,12,0.60428953760862,0.04895763245225,163514.40027618
55,0.25,476,12,0.60181038728356,0.050085354879498,166998.89249229
56,-5.3846153846154,458,13,0.62117442503572,0.046872297987342,170359.70756102
57,-3.2,359,10,0.60641793078184,0.052600849196315,173823.41051316
58,-4.8571428571429,492,14,0.62653725367784,0.057909801356494,177196.93280435
59,-2.0833333333333,411,12,0.62770763164759,0.044757399730384,180707.99882913
60,-6.4545454545455,418,11,0.62793077921867,0.053041671976447,184368.79880023
61,-6.6923076923077,478,13,0.62323064267635,0.051051275312901,188232.23590922
62,-7.25,437,12,0.64113255578279,0.04879417716153,191757.69521713
63,-5.3,369,10,0.62657707825303,0.048134090598673,195594.75462699
64,-5.6153846153846,468,13,0.64060921034217,0.045986624030396,199862.88124394
65,-4.3636363636364,424,11,0.63786323845387,0.047828262917697,203532.96440005
66,-6.2,376,10,0.64415379482508,0.04426491074264,207733.68452883
67,-8.6153846153846,444,13,0.6445699121356,0.054958277672529,211655.73910689
68,-0.61538461538462,488,13,0.64655533200502,0.038586034059525,215466.90428996
69,-4,486,13,0.64888703554869,0.043914513036609,219559.02877498
70,-0.33333333333333,447,12,0.64624559032917,0.047641892939806,223804.84991622
71,-6.5384615384615,472,13,0.63566690003872,0.049302317127585,227838.63679528
72,-4.6363636363636,417,11,0.63711099690199,0.051252304315567,232027.32367206
73,-8.2307692307692,443,13,0.63391436266899,0.048665264971554,236188.94491291
74,-3.3333333333333,450,12,0.62945883643627,0.048747919064015,241381.24751687
75,-3.5384615384615,478,13,0.62911532127857,0.047036009728909,245670.82948804
76,-5.0833333333333,442,12,0.61040000587702,0.04652617444098,250570.50234628
77,-1.3636363636364,452,11,0.57874590176344,0.045145205818117,258795.74901628
78,2.9090909090909,444,11,0.56367688274384,0.046146706014872,265376.65494132
79,1,433,11,0.58433644586802,0.044890030667186,273031.80326462
80,0.4,407,10,0.56603986006975,0.051472402080894,279453.38454461
81,-1.9,396,10,0.56983534914255,0.042509867101908,287339.86959958
82,-6.5,427,12,0.57795796376467,0.046896411240101,294809.03612781
83,-6.0769230769231,445,13,0.59138572341204,0.043647857218981,301846.70236588
84,-2,446,12,0.60097670978308,0.049626976758242,308882.32642794
85,-1.2,396,10,0.61287046802044,0.043968385025859,315383.48060513
86,-5.2727272727273,397,11,0.61317317944765,0.046134451977909,321902.52821803
87,-2,449,11,0.62379645317793,0.049722394168377,328601.83020878
88,-6.3333333333333,431,12,0.60928024560213,0.048750120550394,334467.63142991
89,-1.6666666666667,452,12,0.61758359968662,0.044201732039452,339582.35990906
90,-0.090909090909091,414,11,0.63299699753523,0.045960027575493,345550.17142677
91,-1.2727272727273,424,11,0.62909919255972,0.044356597349048,351840.05597472
92,-2.3333333333333,447,12,0.6411742810607,0.046878527492285,357930.80812883
93,-1.2,403,10,0.63069819927216,0.043852157630026,364560.41527987
94,-1.9,423,10,0.64790958750248,0.04368916927278,369735.55567384
95,-0.33333333333333,438,12,0.65804475861788,0.0468343205899,373734.55882072
96,2.5,374,10,0.65388202512264,0.041903344072402,377166.37988877
97,0.75,444,12,0.66520742946863,0.044931938365102,381859.93837285
98,-3.0909090909091,422,11,0.67006937599182,0.046003070726991,389255.18656874
99,-4.3636363636364,393,11,0.64541435182095,0.048469615295529,395686.37279058
